DEPARTAMENTO	COBERTURA_NETA_MEDIA	DESERCION_MEDIA
Otros	43.8	7.09
Otros	35	2.34
Otros	22.6	7.52
Otros	45.2	7.75
Otros	20.2	7.01
Otros	61.1	3.93
Otros	39.8	2.91
Otros	17.8	8.05
Otros	23.7	4.21
Otros	33	3.26
Otros	47.2	2.12
Otros	25.2	2.63
Otros	34.3	3.68
Otros	35.3	8.84
Otros	32.4	7.86
Otros	31.1	4.15
Otros	27	6.83
Otros	43.4	2.38
Otros	46.2	2.77
Otros	18.2	5.53
Otros	41.4	6.21
Otros	20.8	7.94
Otros	53.7	1.76
Otros	43.6	3.68
Otros	30.7	3.98
Otros	41.8	4.33
Otros	46.9	2.64
Otros	36.9	2.44
Otros	24.4	1.8
Otros	21.4	4.7
Otros	29.8	6.82
Otros	41	6.83
Otros	54.9	3.01
Otros	42.6	4.62
Otros	34	6.18
Otros	44.2	3.61
Otros	37.2	5.99
Otros	54.2	3.99
Otros	25.9	6.16
Otros	48.3	1.88
Otros	33	3.74
Otros	37.6	3.55
Otros	33.3	7.54
Otros	57.1	4.7
Otros	25.6	4.95
Otros	33.3	5.57
Otros	29.2	4.23
Otros	33.5	3.52
Otros	47.2	2.67
Otros	34.2	5.75
Otros	42.4	0.34
Otros	34	2.51
Otros	40.8	3.42
Otros	44.3	3.3
Otros	39.8	2.85
Otros	25.7	6.45
Otros	24	1.28
Otros	20.1	2.45
Otros	28.5	4.67
Otros	28.5	1.76
Otros	33.1	1.41
Otros	48	3.95
Otros	40.9	3.92
Otros	31.4	6.79
Otros	50.1	2.15
Otros	62.4	1.52
Otros	23.1	3.49
Otros	23.8	6.52
Otros	45.2	7.94
Otros	23.9	4.48
Otros	88.8	8.21
Otros	38.1	7.84
Otros	20.7	5.79
Otros	24.1	1.85
Otros	43.6	6.15
Otros	26.1	0.84
Otros	50.5	1.55
Otros	52.1	5.6
Otros	27.7	0.9
Otros	22.2	4.39
Otros	25.6	2.2
Otros	16.3	3.35
Otros	10.3	3.02
Otros	27.8	3.89
Otros	59.1	1.4
Otros	15	0.55
Otros	25.9	1.93
Otros	22.2	2.89
Otros	31.6	4.59
Otros	38.8	0.18
Otros	44.6	6.78
Otros	34.8	7.35
Otros	7.1	7.46
Otros	2.6	11.76
Otros	15	11.69
Otros	6	1.67
Otros	24.3	6.81
Violencia	14.5	4.17
Otros	31.4	1.08
Otros	20.4	4.29
Otros	15.6	3.28
Otros	5.6	3.75
Otros	58.2	3.43
Otros	35.1	2.64
Otros	40.7	10.77
Otros	49.2	1.57
Otros	36.6	2.68
Otros	24.2	6.27
Otros	34.7	4.4
Otros	21.3	3.4
Otros	23.1	1.5
Otros	31.1	2.49
Otros	23.4	6.48
Otros	23.8	3.32
Otros	23.6	2.85
Otros	30.4	2.68
Otros	29.7	8.49
Otros	28.3	10
Otros	40.4	2.94
Otros	38.4	3.66
Otros	43.1	2.87
Otros	26.5	7.41
Otros	21.3	3.35
Otros	29	2.38
Otros	12.7	6.2
Otros	26.4	0.72
Otros	15.5	0.82
Otros	51.7	2.31
Otros	16.1	1.71
Otros	31.8	2.55
Otros	35.4	3.47
Otros	23.3	11.91
Otros	47.2	1.33
Otros	48.3	9.57
Otros	27.1	2.36
Otros	28.2	9.92
Otros	59.5	1.03
Otros	36.9	7.03
Otros	47.4	0.77
Otros	20.8	7.29
Otros	54.3	3.43
Otros	15.1	4.68
Otros	37.2	5.61
Otros	34.4	3.99
Otros	25.1	8.01
Otros	54.7	3.03
Otros	52.9	2.63
Otros	40.4	1.75
Otros	42.9	10.5
Otros	54.4	2.81
Otros	42.9	2.09
Otros	35.1	2.92
Otros	22.6	1.91
Otros	37.9	2.12
Otros	87.5	1.61
Otros	32.2	3.47
Otros	29.6	11.24
Otros	45.9	2.14
Otros	25	11.99
Otros	41.2	2.25
Otros	53.6	3.54
Otros	51.9	2.2
Otros	60.1	3.01
Otros	47.3	4.55
Otros	55.3	3.13
Otros	38.2	1.41
Otros	49.4	2.23
Otros	55	1.81
Otros	40.3	1.69
Otros	15.9	6.51
Otros	12.2	2.79
Otros	19.4	5.78
Otros	45.3	0.93
Otros	62.5	1.67
Otros	30.3	6.21
Otros	39.1	4.03
Otros	29.5	0.34
Otros	26.6	0.72
Otros	28.7	9.66
Otros	61.3	1.21
Otros	58	2.55
Otros	27.1	3.26
Otros	67.6	4.84
Otros	19.3	0.51
Otros	38.7	0.98
Otros	30.4	7.27
Otros	32.9	2.92
Otros	44.7	9.6
Otros	47	1.25
Otros	22.3	3.64
Otros	38.4	8.98
Otros	56.8	2.18
Otros	27.7	12.44
Otros	38.3	3.46
Otros	37.1	4.45
Otros	58.6	2.15
Otros	45.6	2.51
Otros	45.5	2.46
Otros	36.2	2.45
Otros	62.1	3.34
Otros	27.4	5.99
Otros	37.6	5.32
Otros	46.7	3.66
Otros	42.6	4.29
Otros	14.8	7.21
Otros	28.3	1.46
Otros	25	2.97
Otros	17.2	0.65
Otros	27.4	6.14
Otros	16.8	6.5
Otros	20.4	0.32
Otros	10.5	5.14
Otros	49.6	4.81
Otros	41.1	4.35
Otros	40	11.29
Otros	26.5	12.76
Otros	16.7	3.54
Otros	33.2	5.85
Otros	29.8	4.64
Otros	19.6	1.2
Otros	19.8	6.96
Otros	54.9	2.38
Otros	51	3.29
Otros	33.9	9.01
Otros	37.4	0.92
Otros	42.4	1.69
Otros	40.7	1.3
Otros	35.1	9.14
Otros	54.3	0.44
Otros	56.2	0.54
Otros	28.2	0.87
Otros	33.8	2.33
Otros	26.4	5.34
Otros	29.7	4.9
Otros	50.4	1.51
Otros	42.5	3.38
Otros	31.4	0.8
Otros	32.2	2.46
Otros	46.4	1.56
Otros	37.7	1.49
Otros	51.8	4.45
Otros	49.1	3.19
Otros	31	2.06
Otros	12.7	2.04
Otros	34.8	6.87
Otros	20.1	4.55
Otros	20.2	1.83
Otros	38.6	2.75
Otros	16.5	0.88
Otros	30.3	2.26
Otros	35.5	1.59
Otros	31.9	9.35
Otros	28.3	3.89
Otros	20	5.56
Otros	18.6	4.73
Otros	31.7	3.73
Otros	37.9	1.54
Otros	32	1.24
Otros	28.4	4.46
Otros	3.1	8.06
Otros	34.3	1.7
Otros	17.5	10.62
Otros	20.1	4
Otros	7.2	0.79
Otros	42.3	8.65
Otros	46.3	2.01
Otros	18.7	0.97
Otros	38.6	2.73
Otros	16.7	4.02
Otros	43.6	1.02
Otros	26.3	4.23
Otros	19.9	5.35
Otros	36.2	1.52
Otros	27.3	2.16
Otros	18.6	7.56
Otros	23.1	4.53
Otros	41.4	2.86
Otros	14.2	2.04
